CIS Control,CIS Safeguard,Asset Type,Security Function,Title,Description,IG1,IG2,IG3
16 ,,,,Application Software Security,"Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.",,,
16,16.1,Documentation,Govern,Establish and Maintain a Secure Application Development Process,"Establish and maintain a secure application development process. In the process, address such items as: secure application design standards, secure coding practices, developer training, vulnerability management, security of third-party code, and application security testing procedures. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
16,16.2,Documentation,Govern,Establish and Maintain a Process to Accept and Address Software Vulnerabilities,"Establish and maintain a process to accept and address reports of software vulnerabilities, including providing a means for external entities to report. The process is to include such items as: a vulnerability handling policy that identifies reporting process, responsible party for handling vulnerability reports, and a process for intake, assignment, remediation, and remediation testing. As part of the process, use a vulnerability tracking system that includes severity ratings and metrics for measuring timing for identification, analysis, and remediation of vulnerabilities. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.

Third-party application developers need to consider this an externally-facing policy that helps to set expectations for outside stakeholders. ",,x,x
16,16.3,Software,Protect,Perform Root Cause Analysis on Security Vulnerabilities,"Perform root cause analysis on security vulnerabilities. When reviewing vulnerabilities, root cause analysis is the task of evaluating underlying issues that create vulnerabilities in code, and allows development teams to move beyond just fixing individual vulnerabilities as they arise.",,x,x
16,16.4,Software,Identify,Establish and Manage an Inventory of Third-Party Software Components,"Establish and manage an updated inventory of third-party components used in development, often referred to as a “bill of materials,” as well as components slated for future use. This inventory is to include any risks that each third-party component could pose. Evaluate the list at least monthly to identify any changes or updates to these components, and validate that the component is still supported. ",,x,x
16,16.5,Software,Protect,Use Up-to-Date and Trusted Third-Party Software Components,"Use up-to-date and trusted third-party software components. When possible, choose established and proven frameworks and libraries that provide adequate security. Acquire these components from trusted sources or evaluate the software for vulnerabilities before use.",,x,x
16,16.6,Documentation,Govern,Establish and Maintain a Severity Rating System and Process for Application Vulnerabilities,Establish and maintain a severity rating system and process for application vulnerabilities that facilitates prioritizing the order in which discovered vulnerabilities are fixed. This process includes setting a minimum level of security acceptability for releasing code or applications. Severity ratings bring a systematic way of triaging vulnerabilities that improves risk management and helps ensure the most severe bugs are fixed first. Review and update the system and process annually.,,x,x
16,16.7,Software,Protect,Use Standard Hardening Configuration Templates for Application Infrastructure,"Use standard, industry-recommended hardening configuration templates for application infrastructure components. This includes underlying servers, databases, and web servers, and applies to cloud containers, Platform as a Service (PaaS) components, and SaaS components. Do not allow in-house developed software to weaken configuration hardening.",,x,x
16,16.8,Network,Protect,Separate Production and Non-Production Systems,Maintain separate environments for production and non-production systems.,,x,x
16,16.9,Users,Protect,Train Developers in Application Security Concepts and Secure Coding,"Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities. Training can include general security principles and application security standard practices. Conduct training at least annually and design in a way to promote security within the development team, and build a culture of security among the developers.",,x,x
16,16.10,Software,Protect,Apply Secure Design Principles in Application Architectures,"Apply secure design principles in application architectures. Secure design principles include the concept of least privilege and enforcing mediation to validate every operation that the user makes, promoting the concept of ""never trust user input."" Examples include ensuring that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats. Secure design also means minimizing the application infrastructure attack surface, such as turning off unprotected ports and services, removing unnecessary programs and files, and renaming or removing default accounts.",,x,x
16,16.11,Software,Identify,Leverage Vetted Modules or Services for Application Security Components,"Leverage vetted modules or services for application security components, such as identity management, encryption, and auditing and logging. Using platform features in critical security functions will reduce developers’ workload and minimize the likelihood of design or implementation errors. Modern operating systems provide effective mechanisms for identification, authentication, and authorization and make those mechanisms available to applications. Use only standardized, currently accepted, and extensively reviewed encryption algorithms. Operating systems also provide mechanisms to create and maintain secure audit logs.",,x,x
16,16.12,Software,Protect,Implement Code-Level Security Checks,Apply static and dynamic analysis tools within the application life cycle to verify that secure coding practices are being followed.,,,x
16,16.13,Software,Govern,Conduct Application Penetration Testing,"Conduct application penetration testing. For critical applications, authenticated penetration testing is better suited to finding business logic vulnerabilities than code scanning and automated security testing. Penetration testing relies on the skill of the tester to manually manipulate an application as an authenticated and unauthenticated user. ",,,x
16,16.14,Software,Protect,Conduct Threat Modeling,"Conduct threat modeling. Threat modeling is the process of identifying and addressing application security design flaws within a design, before code is created. It is conducted through specially trained individuals who evaluate the application design and gauge security risks for each entry point and access level. The goal is to map out the application, architecture, and infrastructure in a structured way to understand its weaknesses.",,,x
17,,,,Incident Response Management,"Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.",,,
17,17.1,Users,Respond,Designate Personnel to Manage Incident Handling,"Designate one key person, and at least one backup, who will manage the enterprise’s incident handling process. Management personnel are responsible for the coordination and documentation of incident response and recovery efforts and can consist of employees internal to the enterprise, service providers, or a hybrid approach. If using a service provider, designate at least one person internal to the enterprise to oversee any third-party work. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
17,17.2,Documentation,Govern,Establish and Maintain Contact Information for Reporting Security Incidents,"Establish and maintain contact information for parties that need to be informed of security incidents. Contacts may include internal staff, service vendors, law enforcement, cyber insurance providers, relevant government agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to ensure that information is up to date.",x,x,x
17,17.3,Documentation,Govern,Establish and Maintain an Enterprise Process for Reporting Incidents,"Establish and maintain a documented enterprise process for the workforce to report security incidents. The process includes reporting timeframe, personnel to report to, mechanism for reporting, and the minimum information to be reported. Ensure the process is publicly available to all of the workforce. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x
17,17.4,Documentation,Govern,Establish and Maintain an Incident Response Process,"Establish and maintain a documented incident response process that addresses roles and responsibilities, compliance requirements, and a communication plan. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
17,17.5,Users,Respond,Assign Key Roles and Responsibilities,"Assign key roles and responsibilities for incident response, including staff from legal, IT, information security, facilities, public relations, human resources, incident responders, and analysts. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
17,17.6,Users,Respond,Define Mechanisms for Communicating During Incident Response,"Determine which primary and secondary mechanisms will be used to communicate and report during a security incident. Mechanisms can include phone calls, emails, secure chat, or notification letters. Keep in mind that certain mechanisms, such as emails, can be affected during a security incident. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x
17,17.7,Users,Recover,Conduct Routine Incident Response Exercises,"Plan and conduct routine incident response exercises and scenarios for key personnel involved in the incident response process to prepare for responding to real-world incidents. Exercises need to test communication channels, decision-making, and workflows. Conduct testing on an annual basis, at a minimum.",,x,x
17,17.8,Users,Recover,Conduct Post-Incident Reviews,Conduct post-incident reviews. Post-incident reviews help prevent incident recurrence through identifying lessons learned and follow-up action.,,x,x
17,17.9,Documentation,Recover,Establish and Maintain Security Incident Thresholds,"Establish and maintain security incident thresholds, including, at a minimum, differentiating between an incident and an event. Examples can include: abnormal activity, security vulnerability, security weakness, data breach, privacy incident, etc. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",,,x
18 ,,,,Penetration Testing,"Test the effectiveness and resiliency of enterprise assets through identifying and exploiting weaknesses in controls (people, processes, and technology), and simulating the objectives and actions of an attacker.",,,
18,18.1,Documentation,Govern,Establish and Maintain a Penetration Testing Program,"Establish and maintain a penetration testing program appropriate to the size, complexity, industry, and maturity of the enterprise. Penetration testing program characteristics include scope, such as network, web application, Application Programming Interface (API), hosted services, and physical premise controls; frequency; limitations, such as acceptable hours, and excluded attack types; point of contact information; remediation, such as how findings will be routed internally; and retrospective requirements.",,x,x
18 ,18.2,Network,Detect,Perform Periodic External Penetration Tests,"Perform periodic external penetration tests based on program requirements, no less than annually. External penetration testing must include enterprise and environmental reconnaissance to detect exploitable information. Penetration testing requires specialized skills and experience and must be conducted through a qualified party. The testing may be clear box or opaque box.",,x,x
18 ,18.3,Network,Protect,Remediate Penetration Test Findings,Remediate penetration test findings based on the enterprise’s documented vulnerability remediation process. This should include determining a timeline and level of effort based on the impact and prioritization of each identified finding.,,x,x
18,18.4,Network,Protect,Validate Security Measures,"Validate security measures after each penetration test. If deemed necessary, modify rulesets and capabilities to detect the techniques used during testing.",,,x
18 ,18.5,Network,Detect,Perform Periodic Internal Penetration Tests,"Perform periodic internal penetration tests based on program requirements, no less than annually. The testing may be clear box or opaque box.",,,x
