mitigation id,mitigation name,technique id,technique name,comments
M1046,Boot Integrity,T1553.006,Code Signing Policy Modification,Use of Secure Boot may prevent some implementations of modification to code signing policies.(Citation: Microsoft TESTSIGNING Feb 2021)
M1046,Boot Integrity,T1195.003,Compromise Hardware Supply Chain,Use Trusted Platform Module technology and a secure or trusted boot process to prevent system integrity from being compromised. Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. (Citation: TCG Trusted Platform Module) (Citation: TechNet Secure Boot Process)
M1046,Boot Integrity,T1601.002,Downgrade System Image,"Some vendors of embedded network devices provide cryptographic signing to ensure the integrity of operating system images at boot time.  Implement where available, following vendor guidelines. (Citation: Cisco IOS Software Integrity Assurance - Secure Boot)"
M1046,Boot Integrity,T1495,Firmware Corruption,Check the integrity of the existing BIOS and device firmware to determine if it is vulnerable to modification.
M1046,Boot Integrity,T1601,Modify System Image,"Some vendors of embedded network devices provide cryptographic signing to ensure the integrity of operating system images at boot time.  Implement where available, following vendor guidelines. (Citation: Cisco IOS Software Integrity Assurance - Secure Boot)"
M1046,Boot Integrity,T1601.001,Patch System Image,"Some vendors of embedded network devices provide cryptographic signing to ensure the integrity of operating system images at boot time.  Implement where available, following vendor guidelines. (Citation: Cisco IOS Software Integrity Assurance - Secure Boot)"
M1046,Boot Integrity,T1542,Pre-OS Boot,Use Trusted Platform Module technology and a secure or trusted boot process to prevent system integrity from being compromised. Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. (Citation: TCG Trusted Platform Module) (Citation: TechNet Secure Boot Process)
M1046,Boot Integrity,T1542.004,ROMMONkit,"Enable secure boot features to validate the digital signature of the boot environment and system image using a special purpose hardware device. If the validation check fails, the device will fail to boot preventing loading of unauthorized software. (Citation: Cisco IOS Software Integrity Assurance - Secure Boot) "
M1046,Boot Integrity,T1195,Supply Chain Compromise,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.
M1046,Boot Integrity,T1542.001,System Firmware,Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. (Citation: TCG Trusted Platform Module) Move system's root of trust to hardware to prevent tampering with the SPI flash memory.(Citation: ESET LoJax Sept 2018) Technologies such as Intel Boot Guard can assist with this. (Citation: Intel Hardware-based Security Technologies)
M1046,Boot Integrity,T1542.005,TFTP Boot,"Enable secure boot features to validate the digital signature of the boot environment and system image using a special purpose hardware device. If the validation check fails, the device will fail to boot preventing loading of unauthorized software. (Citation: Cisco IOS Software Integrity Assurance - Secure Boot) "
M1045,Code Signing,T1059.002,AppleScript,Require that all AppleScript be signed by a trusted developer ID before being executed - this will prevent random AppleScript code from executing.(Citation: applescript signing) This subjects AppleScript code to the same scrutiny as other .app files passing through Gatekeeper.
M1045,Code Signing,T1059,Command and Scripting Interpreter,"Where possible, only permit execution of signed scripts."
M1045,Code Signing,T1554,Compromise Host Software Binary,Ensure all application component binaries are signed by the correct application developers.
M1045,Code Signing,T1543,Create or Modify System Process,Enforce registration and execution of only legitimately signed service drivers where possible.
M1045,Code Signing,T1601.002,Downgrade System Image,Many vendors provide digitally signed operating system images to validate the integrity of the software used on their platform.  Make use of this feature where possible in order to prevent and/or detect attempts by adversaries to compromise the system image. (Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS)
M1045,Code Signing,T1505.004,IIS Components,Ensure IIS DLLs and binaries are signed by the correct application developers.
M1045,Code Signing,T1525,Implant Internal Image,Several cloud service providers support content trust models that require container images be signed by trusted sources.(Citation: Content trust in Azure Container Registry)(Citation: Content trust in Docker)
M1045,Code Signing,T1036.001,Invalid Code Signature,Require signed binaries.
M1045,Code Signing,T1546.006,LC_LOAD_DYLIB Addition,Enforce that all binaries be signed by the correct Apple Developer IDs.
M1045,Code Signing,T1204.003,Malicious Image,Utilize a trust model such as Docker Content Trust with digital signatures to ensure runtime verification of the integrity and publisher of specific image tags.(Citation: Content trust in Docker)(Citation: Content trust in Azure Container Registry)
M1045,Code Signing,T1036,Masquerading,Require signed binaries.
M1045,Code Signing,T1036.005,Match Legitimate Name or Location,Require signed binaries and images.
M1045,Code Signing,T1601,Modify System Image,Many vendors provide digitally signed operating system images to validate the integrity of the software used on their platform.  Make use of this feature where possible in order to prevent and/or detect attempts by adversaries to compromise the system image. (Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS)
M1045,Code Signing,T1601.001,Patch System Image,Many vendors provide digitally signed operating system images to validate the integrity of the software used on their platform.  Make use of this feature where possible in order to prevent and/or detect attempts by adversaries to compromise the system image. (Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS)
M1045,Code Signing,T1059.001,PowerShell,Set PowerShell execution policy to execute only signed scripts.
M1045,Code Signing,T1546.013,PowerShell Profile,Enforce execution of only signed PowerShell scripts. Sign profiles to avoid them from being modified.
M1045,Code Signing,T1505.001,SQL Stored Procedures,Ensure all application component binaries are signed by the correct application developers. 
M1045,Code Signing,T1505,Server Software Component,Ensure all application component binaries are signed by the correct application developers.
M1045,Code Signing,T1505.002,Transport Agent,Ensure all application component binaries are signed by the correct application developers. 
M1045,Code Signing,T1543.003,Windows Service,Enforce registration and execution of only legitimately signed service drivers where possible.
M1043,Credential Access Protection,T1601.002,Downgrade System Image,"Some embedded network devices are capable of storing passwords for local accounts in either plain-text or encrypted formats.  Ensure that, where available, local passwords are always encrypted, per vendor recommendations. (Citation: Cisco IOS Software Integrity Assurance - Credentials Management)"
M1043,Credential Access Protection,T1547.008,LSASS Driver,"On Windows 10 and Server 2016, enable Windows Defender Credential Guard (Citation: Microsoft Enable Cred Guard April 2017) to run lsass.exe in an isolated virtualized environment without any device drivers. (Citation: Microsoft Credential Guard April 2017)"
M1043,Credential Access Protection,T1003.001,LSASS Memory,"With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requirements. It also does not protect against all forms of credential dumping.(Citation: TechNet Credential Guard)(Citation: GitHub SHB Credential Guard)"
M1043,Credential Access Protection,T1601,Modify System Image,"Some embedded network devices are capable of storing passwords for local accounts in either plain-text or encrypted formats.  Ensure that, where available, local passwords are always encrypted, per vendor recommendations. (Citation: Cisco IOS Software Integrity Assurance - Credentials Management)"
M1043,Credential Access Protection,T1599.001,Network Address Translation Traversal,"Some embedded network devices are capable of storing passwords for local accounts in either plain-text or encrypted formats.  Ensure that, where available, local passwords are always encrypted, per vendor recommendations. (Citation: Cisco IOS Software Integrity Assurance - AAA)"
M1043,Credential Access Protection,T1599,Network Boundary Bridging,"Some embedded network devices are capable of storing passwords for local accounts in either plain-text or encrypted formats.  Ensure that, where available, local passwords are always encrypted, per vendor recommendations.(Citation: Cisco IOS Software Integrity Assurance - AAA)"
M1043,Credential Access Protection,T1003,OS Credential Dumping,"With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requirements. (Citation: TechNet Credential Guard) It also does not protect against all forms of credential dumping. (Citation: GitHub SHB Credential Guard)"
M1043,Credential Access Protection,T1601.001,Patch System Image,"Some embedded network devices are capable of storing passwords for local accounts in either plain-text or encrypted formats.  Ensure that, where available, local passwords are always encrypted, per vendor recommendations. (Citation: Cisco IOS Software Integrity Assurance - Credentials Management)"
M1053,Data Backup,T1485,Data Destruction,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1053,Data Backup,T1486,Data Encrypted for Impact,Consider implementing IT disaster recovery plans that contain procedures for regularly taking and testing data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery. Consider enabling versioning in cloud environments to maintain backup copies of storage objects.(Citation: Rhino S3 Ransomware Part 2)
M1053,Data Backup,T1491,Defacement,"Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
"
M1053,Data Backup,T1561.001,Disk Content Wipe,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1053,Data Backup,T1561.002,Disk Structure Wipe,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1053,Data Backup,T1561,Disk Wipe,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1053,Data Backup,T1491.002,External Defacement,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1053,Data Backup,T1490,Inhibit System Recovery,"Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery. In cloud environments, enable versioning on storage objects where possible, and copy backups to other accounts or regions to isolate them from the original copies.(Citation: Unit 42 Palo Alto Ransomware in Public Clouds 2022)"
M1053,Data Backup,T1491.001,Internal Defacement,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1057,Data Loss Prevention,T1005,Data from Local System,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
M1057,Data Loss Prevention,T1025,Data from Removable Media,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
M1057,Data Loss Prevention,T1048,Exfiltration Over Alternative Protocol,Data loss prevention can detect and block sensitive data being uploaded via web browsers.
M1057,Data Loss Prevention,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Data loss prevention can detect and block sensitive data being uploaded via web browsers.
M1057,Data Loss Prevention,T1041,Exfiltration Over C2 Channel,Data loss prevention can detect and block sensitive data being sent over unencrypted protocols.
M1057,Data Loss Prevention,T1052,Exfiltration Over Physical Medium,Data loss prevention can detect and block sensitive data being copied to physical mediums.
M1057,Data Loss Prevention,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Data loss prevention can detect and block sensitive data being sent over unencrypted protocols.
M1057,Data Loss Prevention,T1567,Exfiltration Over Web Service,Data loss prevention can be detect and block sensitive data being uploaded to web services via web browsers.
M1057,Data Loss Prevention,T1567.004,Exfiltration Over Webhook,Data loss prevention can be detect and block sensitive data being uploaded to web services via web browsers.
M1057,Data Loss Prevention,T1052.001,Exfiltration over USB,Data loss prevention can detect and block sensitive data being copied to USB devices.
M1057,Data Loss Prevention,T1537,Transfer Data to Cloud Account,Data loss prevention can prevent and block sensitive data from being shared with individuals outside an organization.(Citation: Microsoft Purview Data Loss Prevention) (Citation: Google Workspace Data Loss Prevention)
M1042,Disable or Remove Feature or Program,T1557.002,ARP Cache Poisoning,Consider disabling updating the ARP cache on gratuitous ARP replies.
M1042,Disable or Remove Feature or Program,T1098.002,Additional Email Delegate Permissions,"If email delegation is not required, disable it. In Google Workspace this can be accomplished through the Google Admin console.(Citation: Gmail Delegation)"
M1042,Disable or Remove Feature or Program,T1557,Adversary-in-the-Middle,"Disable legacy network protocols that may be used   to intercept network traffic if applicable, especially those that are not needed within an environment."
M1042,Disable or Remove Feature or Program,T1218.003,CMSTP,CMSTP.exe may not be necessary within a given environment (unless using it for VPN connection installation).
M1042,Disable or Remove Feature or Program,T1552.005,Cloud Instance Metadata API,Disable unnecessary metadata services and restrict or disable insecure versions of metadata services that are in use to prevent adversary access.(Citation: Amazon AWS IMDS V2)
M1042,Disable or Remove Feature or Program,T1059,Command and Scripting Interpreter,Disable or remove any unnecessary or unused shells or interpreters.
M1042,Disable or Remove Feature or Program,T1092,Communication Through Removable Media,Disable Autoruns if it is unnecessary.(Citation: Microsoft Disable Autorun)
M1042,Disable or Remove Feature or Program,T1609,Container Administration Command,Remove unnecessary tools and software from containers.
M1042,Disable or Remove Feature or Program,T1021.008,Direct Cloud VM Connections,"If direct virtual machine connections are not required for administrative use, disable these connection types where feasible."
M1042,Disable or Remove Feature or Program,T1021.003,Distributed Component Object Model,Consider disabling DCOM through Dcomcnfg.exe.(Citation: Microsoft Disable DCOM)
M1042,Disable or Remove Feature or Program,T1562.010,Downgrade Attack,Consider removing previous versions of tools that are unnecessary to the environment when possible.
M1042,Disable or Remove Feature or Program,T1559.002,Dynamic Data Exchange,"Registry keys specific to Microsoft Office feature control security can be set to disable automatic DDE/OLE execution. (Citation: Microsoft DDE Advisory Nov 2017)(Citation: BleepingComputer DDE Disabled in Word Dec 2017)(Citation: GitHub Disable DDEAUTO Oct 2017) Microsoft also created, and enabled by default, Registry keys to completely disable DDE execution in Word and Excel.(Citation: Microsoft ADV170021 Dec 2017)"
M1042,Disable or Remove Feature or Program,T1218.015,Electron Applications,"Remove or deny access to unnecessary and potentially vulnerable software and features to prevent abuse by adversaries. Many native binaries may not be necessary within a given environment: for example, consider disabling the Node.js integration in all renderers that display remote content to protect users by limiting adversaries’ power to plant malicious JavaScript within Electron applications.(Citation: Electron Security 2)"
M1042,Disable or Remove Feature or Program,T1114.003,Email Forwarding Rule,Consider disabling external email forwarding.(Citation: Microsoft BEC Campaign)
M1042,Disable or Remove Feature or Program,T1546.014,Emond,Consider disabling emond by removing the [Launch Daemon](https://attack.mitre.org/techniques/T1543/004) plist file.
M1042,Disable or Remove Feature or Program,T1611,Escape to Host,Remove unnecessary tools and software from containers.
M1042,Disable or Remove Feature or Program,T1011.001,Exfiltration Over Bluetooth,Disable Bluetooth in local computer security settings or by group policy if it is not needed within an environment.
M1042,Disable or Remove Feature or Program,T1011,Exfiltration Over Other Network Medium,"Disable WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel in local computer security settings or by group policy if it is not needed within an environment."
M1042,Disable or Remove Feature or Program,T1052,Exfiltration Over Physical Medium,Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if they are not required for business operations. (Citation: TechNet Removable Media Control)
M1042,Disable or Remove Feature or Program,T1052.001,Exfiltration over USB,Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if they are not required for business operations. (Citation: TechNet Removable Media Control)
M1042,Disable or Remove Feature or Program,T1210,Exploitation of Remote Services,Minimize available services to only those that are necessary.
M1042,Disable or Remove Feature or Program,T1133,External Remote Services,Disable or block remotely available services that may be unnecessary.
M1042,Disable or Remove Feature or Program,T1218.004,InstallUtil,InstallUtil may not be necessary within a given environment.
M1042,Disable or Remove Feature or Program,T1559,Inter-Process Communication,"Registry keys specific to Microsoft Office feature control security can be set to disable automatic DDE/OLE execution. (Citation: Microsoft DDE Advisory Nov 2017)(Citation: BleepingComputer DDE Disabled in Word Dec 2017)(Citation: GitHub Disable DDEAUTO Oct 2017) Microsoft also created, and enabled by default, Registry keys to completely disable DDE execution in Word and Excel.(Citation: Microsoft ADV170021 Dec 2017)"
M1042,Disable or Remove Feature or Program,T1059.007,JavaScript,Turn off or restrict access to unneeded scripting components.
M1042,Disable or Remove Feature or Program,T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Disable LLMNR and NetBIOS in local computer security settings or by group policy if they are not needed within an environment. (Citation: ADSecurity Windows Secure Baseline)
M1042,Disable or Remove Feature or Program,T1218.014,MMC,"MMC may not be necessary within a given environment since it is primarily used by system administrators, not regular users or clients. "
M1042,Disable or Remove Feature or Program,T1127.001,MSBuild,MSBuild.exe may not be necessary within an environment and should be removed if not being used.
M1042,Disable or Remove Feature or Program,T1553.005,Mark-of-the-Web Bypass,"Consider disabling auto-mounting of disk image files (i.e., .iso, .img, .vhd, and .vhdx). This can be achieved by modifying the Registry values related to the Windows Explorer file associations in order to disable the automatic Explorer ""Mount and Burn"" dialog for these file extensions. Note: this will not deactivate the mount functionality itself.(Citation: GitHub MOTW)"
M1042,Disable or Remove Feature or Program,T1218.013,Mavinject,Consider removing mavinject.exe if Microsoft App-V is not used within a given environment.
M1042,Disable or Remove Feature or Program,T1218.005,Mshta,Mshta.exe may not be necessary within a given environment since its functionality is tied to older versions of Internet Explorer that have reached end of life.
M1042,Disable or Remove Feature or Program,T1218.007,Msiexec,Consider disabling the <code>AlwaysInstallElevated</code> policy to prevent elevated execution of Windows Installer packages.(Citation: Microsoft AlwaysInstallElevated 2018)
M1042,Disable or Remove Feature or Program,T1046,Network Service Discovery,Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.
M1042,Disable or Remove Feature or Program,T1218.008,Odbcconf,Odbcconf.exe may not be necessary within a given environment.
M1042,Disable or Remove Feature or Program,T1137,Office Application Startup,"Follow Office macro security best practices suitable for your environment. Disable Office VBA macros from executing.

Disable Office add-ins. If they are required, follow best practices for securing them by requiring them to be signed and disabling user notification for allowing add-ins. For some add-ins types (WLL, VBA) additional mitigation is likely required as disabling add-ins in the Office Trust Center does not disable WLL nor does it prevent VBA code from executing. (Citation: MRWLabs Office Persistence Add-ins)"
M1042,Disable or Remove Feature or Program,T1137.001,Office Template Macros,"Follow Office macro security best practices suitable for your environment. Disable Office VBA macros from executing.

Disable Office add-ins. If they are required, follow best practices for securing them by requiring them to be signed and disabling user notification for allowing add-ins. For some add-ins types (WLL, VBA) additional mitigation is likely required as disabling add-ins in the Office Trust Center does not disable WLL nor does it prevent VBA code from executing. (Citation: MRWLabs Office Persistence Add-ins)
"
M1042,Disable or Remove Feature or Program,T1059.001,PowerShell,"It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.

Disable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution."
M1042,Disable or Remove Feature or Program,T1563.002,RDP Hijacking,Disable the RDP service if it is unnecessary.
M1042,Disable or Remove Feature or Program,T1547.007,Re-opened Applications,This feature can be disabled entirely with the following terminal command: <code>defaults write -g ApplePersistence -bool no</code>.
M1042,Disable or Remove Feature or Program,T1218.009,Regsvcs/Regasm,Regsvcs and Regasm may not be necessary within a given environment.
M1042,Disable or Remove Feature or Program,T1219,Remote Access Software,"Consider disabling unnecessary remote connection functionality, including both unapproved software installations and specific features built into supported applications."
M1042,Disable or Remove Feature or Program,T1021.001,Remote Desktop Protocol,Disable the RDP service if it is unnecessary.
M1042,Disable or Remove Feature or Program,T1563,Remote Service Session Hijacking,"Disable the remote service (ex: SSH, RDP, etc.) if it is unnecessary."
M1042,Disable or Remove Feature or Program,T1021,Remote Services,"If remote services, such as the ability to make direct connections to cloud virtual machines, are not required, disable these connection types where feasible."
M1042,Disable or Remove Feature or Program,T1091,Replication Through Removable Media,Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if it is not required for business operations. (Citation: TechNet Removable Media Control)
M1042,Disable or Remove Feature or Program,T1564.006,Run Virtual Instance,Disable Hyper-V if not necessary within a given environment.
M1042,Disable or Remove Feature or Program,T1021.004,SSH,Disable the SSH daemon on systems that do not require it. For macOS ensure Remote Login is disabled under Sharing Preferences.(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing)
M1042,Disable or Remove Feature or Program,T1098.004,SSH Authorized Keys,Disable SSH if it is not necessary on a host or restrict SSH access for specific users/groups using <code>/etc/ssh/sshd_config</code>.
M1042,Disable or Remove Feature or Program,T1563.001,SSH Hijacking,Ensure that agent forwarding is disabled on systems that do not explicitly require this feature to prevent misuse. (Citation: Symantec SSH and ssh-agent)
M1042,Disable or Remove Feature or Program,T1546.002,Screensaver,Use Group Policy to disable screensavers if they are unnecessary.(Citation: TechNet Screensaver GP)
M1042,Disable or Remove Feature or Program,T1505,Server Software Component,Consider disabling software components from servers when possible to prevent abuse by adversaries.(Citation: ITSyndicate Disabling PHP functions)
M1042,Disable or Remove Feature or Program,T1649,Steal or Forge Authentication Certificates,"Consider disabling old/dangerous authentication protocols (e.g. NTLM), as well as unnecessary certificate features, such as potentially vulnerable AD CS web and other enrollment server roles.(Citation: SpecterOps Certified Pre Owned)"
M1042,Disable or Remove Feature or Program,T1218,System Binary Proxy Execution,Many native binaries may not be necessary within a given environment.
M1042,Disable or Remove Feature or Program,T1221,Template Injection,"Consider disabling Microsoft Office macros/active content to prevent the execution of malicious payloads in documents (Citation: Microsoft Disable Macros), though this setting may not mitigate the [Forced Authentication](https://attack.mitre.org/techniques/T1187) use for this technique."
M1042,Disable or Remove Feature or Program,T1205,Traffic Signaling,Disable Wake-on-LAN if it is not needed within an environment.
M1042,Disable or Remove Feature or Program,T1127,Trusted Developer Utilities Proxy Execution,Specific developer utilities may not be necessary within a given environment and should be removed if not used.
M1042,Disable or Remove Feature or Program,T1564.007,VBA Stomping,Turn off or restrict access to unneeded VB components.(Citation: Microsoft Disable VBA Jan 2020)
M1042,Disable or Remove Feature or Program,T1021.005,VNC,Uninstall any VNC server software where not required.
M1042,Disable or Remove Feature or Program,T1218.012,Verclsid,Consider removing verclsid.exe if it is not necessary within a given environment.
M1042,Disable or Remove Feature or Program,T1059.005,Visual Basic,Turn off or restrict access to unneeded VB components.
M1042,Disable or Remove Feature or Program,T1505.003,Web Shell,Consider disabling functions from web technologies such as PHP’s `evaI()` that may be abused for web shells.(Citation: ITSyndicate Disabling PHP functions)
M1042,Disable or Remove Feature or Program,T1555.004,Windows Credential Manager,Consider enabling the “Network access: Do not allow storage of passwords and credentials for network authentication” setting that will prevent network credentials from being stored by the Credential Manager.(Citation: Microsoft Network access Credential Manager)
M1042,Disable or Remove Feature or Program,T1021.006,Windows Remote Management,Disable the WinRM service.
M1042,Disable or Remove Feature or Program,T1595.003,Wordlist Scanning,"Remove or disable access to any systems, resources, and infrastructure that are not explicitly required to be available externally."
M1055,Do Not Mitigate,T1480.001,Environmental Keying,"[Environmental Keying](https://attack.mitre.org/techniques/T1480/001) likely should not be mitigated with preventative controls because it may protect unintended targets from being compromised via confusion of keys by the adversary. Mitigation of this technique is also unlikely to be feasible within most contexts because there are no standard attributes from which an adversary may derive keys. If targeted, efforts should be focused on preventing adversary tools from running earlier in the chain of activity and on identifying subsequent malicious behavior if compromised."
M1055,Do Not Mitigate,T1480,Execution Guardrails,"[Execution Guardrails](https://attack.mitre.org/techniques/T1480) likely should not be mitigated with preventative controls because it may protect unintended targets from being compromised. If targeted, efforts should be focused on preventing adversary tools from running earlier in the chain of activity and on identifying subsequent malicious behavior if compromised."
M1041,Encrypt Sensitive Information,T1557.002,ARP Cache Poisoning,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
M1041,Encrypt Sensitive Information,T1558.004,AS-REP Roasting,"Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible.(Citation: AdSecurity Cracking Kerberos Dec 2015)"
M1041,Encrypt Sensitive Information,T1557,Adversary-in-the-Middle,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
M1041,Encrypt Sensitive Information,T1550.001,Application Access Token,File encryption should be enforced across email communications containing sensitive information that may be obtained through access to email services.
M1041,Encrypt Sensitive Information,T1119,Automated Collection,"Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means. Strong passwords should be used on certain encrypted documents that use them to prevent offline cracking through [Brute Force](https://attack.mitre.org/techniques/T1110) techniques."
M1041,Encrypt Sensitive Information,T1070.002,Clear Linux or Mac System Logs,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.
M1041,Encrypt Sensitive Information,T1070.001,Clear Windows Event Logs,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.
M1041,Encrypt Sensitive Information,T1659,Content Injection,"Where possible, ensure that online traffic is appropriately encrypted through services such as trusted VPNs."
M1041,Encrypt Sensitive Information,T1565,Data Manipulation,Consider encrypting important information to reduce an adversary’s ability to perform tailored data modifications.
M1041,Encrypt Sensitive Information,T1530,Data from Cloud Storage,"Encrypt data stored at rest in cloud storage.(Citation: Amazon S3 Security, 2019)(Citation: Microsoft Azure Storage Security, 2019) Managed encryption keys can be rotated by most providers. At a minimum, ensure an incident response plan to storage breach includes rotating the keys and test for impact on client applications.(Citation: Google Cloud Encryption Key Rotation)"
M1041,Encrypt Sensitive Information,T1602,Data from Configuration Repository,Configure SNMPv3 to use the highest level of security (authPriv) available.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1041,Encrypt Sensitive Information,T1114,Email Collection,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,T1114.003,Email Forwarding Rule,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,T1070,Indicator Removal,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.
M1041,Encrypt Sensitive Information,T1558.003,Kerberoasting,"Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible.(Citation: AdSecurity Cracking Kerberos Dec 2015)"
M1041,Encrypt Sensitive Information,T1114.001,Local Email Collection,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,T1003.003,NTDS,Ensure Domain Controller backups are properly secured.(Citation: Metcalf 2015)
M1041,Encrypt Sensitive Information,T1602.002,Network Device Configuration Dump,Configure SNMPv3 to use the highest level of security (authPriv) available.(Citation: US-CERT TA17-156A SNMP Abuse 2017) 
M1041,Encrypt Sensitive Information,T1040,Network Sniffing,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
M1041,Encrypt Sensitive Information,T1003,OS Credential Dumping,Ensure Domain Controller backups are properly secured.
M1041,Encrypt Sensitive Information,T1552.004,Private Keys,"When possible, store keys on separate cryptographic hardware instead of on the local system. For example, on Windows systems use a TPM to secure keys and other sensitive credential material.(Citation: Microsoft Primary Refresh Token)"
M1041,Encrypt Sensitive Information,T1114.002,Remote Email Collection,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,T1602.001,SNMP (MIB Dump),Configure SNMPv3 to use the highest level of security (authPriv) available.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1041,Encrypt Sensitive Information,T1558.002,Silver Ticket,"Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible.(Citation: AdSecurity Cracking Kerberos Dec 2015)"
M1041,Encrypt Sensitive Information,T1649,Steal or Forge Authentication Certificates,"Ensure certificates as well as associated private keys are appropriately secured. Consider utilizing additional hardware credential protections such as trusted platform modules (TPM) or hardware security modules (HSM). Enforce HTTPS and enable Extended Protection for
Authentication.(Citation: SpecterOps Certified Pre Owned)"
